batch,trial,timestamp,params,val_accuracy,test_accuracy,log_loss,brier,train_accuracy,overfit_gap,walk_forward_acc,cv_mean_acc,cv_std_acc,cv_min_acc,cv_max_acc,cv_stability_ratio,cv_mean_log_loss
99,1,2026-06-15T15:38:12.983408,"{'n_estimators': 1447, 'max_depth': 7, 'learning_rate': 0.015091228571707317, 'subsample': 0.724615467649157, 'colsample_bytree': 0.9745706872952555, 'reg_alpha': 0.3664575910527581, 'reg_lambda': 0.0007039009769565511, 'min_child_weight': 10, 'gamma': 0.7712396464195107, 'tree_method': 'hist', 'device': 'cpu'}",5409.01,58.9357,0.9187,0.1791,94.7376,35.8019,0.0,57.0779,1.4939,55.3954,59.0257,35.8104,0.9351
99,2,2026-06-15T15:39:45.332633,"{'n_estimators': 1407, 'max_depth': 5, 'learning_rate': 0.02188529446885412, 'subsample': 0.8496839347857699, 'colsample_bytree': 0.8067231941115699, 'reg_alpha': 0.0007273413362806731, 'reg_lambda': 0.38491333687172913, 'min_child_weight': 5, 'gamma': 0.4914926588936236, 'tree_method': 'hist', 'device': 'cpu'}",5339.6,59.2137,0.9178,0.1791,91.3555,32.1419,0.0,56.9224,1.7632,54.9585,59.2349,30.5515,0.9451
12,8,2026-06-15T15:46:10.095639,"{'max_depth': 13, 'n_estimators': 2186, 'learning_rate': 0.019104644423939273, 'min_child_weight': 3, 'gamma': 2.5819376093603728, 'reg_alpha': 5.320021674047845, 'reg_lambda': 3.685603883306817e-05, 'max_delta_step': 7.393893075164668, 'num_parallel_tree': 6, 'tree_method': 'approx', 'max_bin': 462, 'grow_policy': 'lossguide', 'subsample': 0.8245304267511084, 'colsample_bytree': 0.9219619314530956, 'colsample_bylevel': 0.5630119845152032, 'colsample_bynode': 0.9660505555021519}",61.3852,60.2859,0.8739,0.1713,63.7716,3.4857,59.1755
12,9,2026-06-15T15:47:08.211624,"{'max_depth': 16, 'n_estimators': 683, 'learning_rate': 0.01803872397176787, 'min_child_weight': 8, 'gamma': 3.817672411812301, 'reg_alpha': 0.02814765846492364, 'reg_lambda': 22.518691524336212, 'max_delta_step': 9.158281864829323, 'num_parallel_tree': 7, 'tree_method': 'hist', 'max_bin': 284, 'grow_policy': 'depthwise', 'subsample': 0.4439396437359543, 'colsample_bytree': 0.9733766701099114, 'colsample_bylevel': 0.5968381256040793, 'colsample_bynode': 0.8748371548805662}",60.8159,60.4845,0.8755,0.1714,60.0108,-0.4737,59.4717
12,10,2026-06-15T15:49:17.937311,"{'max_depth': 9, 'n_estimators': 1887, 'learning_rate': 0.34435302695547887, 'min_child_weight': 10, 'gamma': 1.5491215258447406, 'reg_alpha': 13.901633963934245, 'reg_lambda': 0.004218678753560126, 'max_delta_step': 9.337575695421801, 'num_parallel_tree': 6, 'tree_method': 'auto', 'max_bin': 232, 'grow_policy': 'depthwise', 'subsample': 0.3720370338714562, 'colsample_bytree': 0.3847880025353239, 'colsample_bylevel': 0.7382737459478387, 'colsample_bynode': 0.789793251909506}",60.9108,59.6505,0.8896,0.1743,66.085,6.4344,58.8619
100,1,2026-06-15T15:51:58.628732,"{'n_estimators': 1323, 'max_depth': 10, 'learning_rate': 0.015365854664969713, 'subsample': 0.5800840086479215, 'colsample_bytree': 0.5087471303900746, 'reg_alpha': 2.7432977139838357, 'reg_lambda': 0.9751045624325401, 'min_child_weight': 5, 'gamma': 0.5911507528340602, 'tree_method': 'hist', 'device': 'cpu'}",5501.07,59.7697,0.9014,0.1767,89.6374,29.8678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2,2026-06-15T15:52:02.742689,"{'n_estimators': 281, 'max_depth': 6, 'learning_rate': 0.03474141803841413, 'subsample': 0.6237031601012804, 'colsample_bytree': 0.6603659339037016, 'reg_alpha': 7.523007278366883, 'reg_lambda': 2.150824694735441, 'min_child_weight': 5, 'gamma': 0.225053803821611, 'tree_method': 'hist', 'device': 'cpu'}",5588.93,60.4845,0.8822,0.1728,68.3983,7.9138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,3,2026-06-15T15:52:05.197332,"{'n_estimators': 147, 'max_depth': 7, 'learning_rate': 0.010638677567436963, 'subsample': 0.8151104217433515, 'colsample_bytree': 0.6456547410044016, 'reg_alpha': 0.017318378015331468, 'reg_lambda': 0.03319264689273657, 'min_child_weight': 7, 'gamma': 0.42454935106678404, 'tree_method': 'hist', 'device': 'cpu'}",5594.52,60.3257,0.8998,0.1754,63.6634,3.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4,2026-06-15T15:52:12.497196,"{'n_estimators': 822, 'max_depth': 8, 'learning_rate': 0.22974327195071104, 'subsample': 0.5512583237742914, 'colsample_bytree': 0.5300359229257348, 'reg_alpha': 0.00023819475680296275, 'reg_lambda': 0.004643540094865242, 'min_child_weight': 8, 'gamma': 0.8615609110019621, 'tree_method': 'hist', 'device': 'cpu'}",57.1157,57.8237,1.0065,0.1916,98.9719,41.1482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,6,2026-06-15T15:52:44.515228,"{'n_estimators': 1877, 'max_depth': 6, 'learning_rate': 0.025775027469579076, 'subsample': 0.5271844284737748, 'colsample_bytree': 0.8060168325831198, 'reg_alpha': 0.009886921019759786, 'reg_lambda': 4.523659434623489, 'min_child_weight': 2, 'gamma': 0.3229123250788758, 'tree_method': 'hist', 'device': 'cpu'}",58.7287,58.062,0.9901,0.189,99.9594,41.8975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,7,2026-06-15T15:52:51.977280,"{'n_estimators': 887, 'max_depth': 5, 'learning_rate': 0.28772114954487404, 'subsample': 0.6365695147798123, 'colsample_bytree': 0.9575892823537024, 'reg_alpha': 0.0005121451853375543, 'reg_lambda': 0.003617696036383864, 'min_child_weight': 8, 'gamma': 0.39226488209810306, 'tree_method': 'hist', 'device': 'cpu'}",5131.73,56.3542,1.1878,0.2104,100.0,43.6458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,8,2026-06-15T15:52:58.061115,"{'n_estimators': 811, 'max_depth': 11, 'learning_rate': 0.12106127030246706, 'subsample': 0.9070037187873456, 'colsample_bytree': 0.9709538979924828, 'reg_alpha': 0.0030482706515663296, 'reg_lambda': 0.1900994466844349, 'min_child_weight': 8, 'gamma': 0.4054620345206711, 'tree_method': 'hist', 'device': 'cpu'}",59.5825,57.784,0.9622,0.185,99.8918,42.1078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,10,2026-06-15T15:53:09.194314,"{'n_estimators': 1931, 'max_depth': 3, 'learning_rate': 0.03175110029717534, 'subsample': 0.9837209295186538, 'colsample_bytree': 0.8773871086461766, 'reg_alpha': 0.5729668081050774, 'reg_lambda': 9.480818372788775, 'min_child_weight': 4, 'gamma': 0.44089482181422934, 'tree_method': 'hist', 'device': 'cpu'}",60.0569,59.3328,0.8939,0.1755,68.6824,9.3496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,11,2026-06-15T15:53:11.213059,"{'n_estimators': 157, 'max_depth': 6, 'learning_rate': 0.039955382957548614, 'subsample': 0.7102848727639213, 'colsample_bytree': 0.8366540243948226, 'reg_alpha': 0.43939848150010474, 'reg_lambda': 0.009933247896064052, 'min_child_weight': 7, 'gamma': 0.5792790885212107, 'tree_method': 'hist', 'device': 'cpu'}",60.7211,60.6831,0.8834,0.1732,71.6315,10.9484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1,2026-06-15T15:53:42.535109,"{'n_estimators': 1323, 'max_depth': 10, 'learning_rate': 0.015365854664969713, 'subsample': 0.5800840086479215, 'colsample_bytree': 0.5087471303900746, 'reg_alpha': 2.7432977139838357, 'reg_lambda': 0.9751045624325401, 'min_child_weight': 5, 'gamma': 0.5911507528340602, 'tree_method': 'hist', 'device': 'cpu'}",5501.07,59.7697,0.9014,0.1767,89.6374,29.8678,0.0,57.7579,1.3736,56.0507,59.4142,39.1942,0.9138
100,2,2026-06-15T15:53:54.852278,"{'n_estimators': 281, 'max_depth': 6, 'learning_rate': 0.03474141803841413, 'subsample': 0.6237031601012804, 'colsample_bytree': 0.6603659339037016, 'reg_alpha': 7.523007278366883, 'reg_lambda': 2.150824694735441, 'min_child_weight': 5, 'gamma': 0.225053803821611, 'tree_method': 'hist', 'device': 'cpu'}",5588.93,60.4845,0.8822,0.1728,68.3983,7.9138,0.0,58.6593,1.385,57.0118,60.4005,39.5011,0.8965
100,1,2026-06-15T15:53:58.758664,"{'n_estimators': 1323, 'max_depth': 10, 'learning_rate': 0.015365854664969713, 'subsample': 0.5800840086479215, 'colsample_bytree': 0.5087471303900746, 'reg_alpha': 2.7432977139838357, 'reg_lambda': 0.9751045624325401, 'min_child_weight': 5, 'gamma': 0.5911507528340602, 'tree_method': 'hist', 'device': 'cpu'}",5501.07,59.7697,0.9014,0.1767,89.6374,29.8678,0.0,57.7579,1.3736,56.0507,59.4142,39.1942,0.9138
100,3,2026-06-15T15:54:04.670746,"{'n_estimators': 147, 'max_depth': 7, 'learning_rate': 0.010638677567436963, 'subsample': 0.8151104217433515, 'colsample_bytree': 0.6456547410044016, 'reg_alpha': 0.017318378015331468, 'reg_lambda': 0.03319264689273657, 'min_child_weight': 7, 'gamma': 0.42454935106678404, 'tree_method': 'hist', 'device': 'cpu'}",5594.52,60.3257,0.8998,0.1754,63.6634,3.3378,0.0,58.7564,1.4056,56.9244,60.3407,39.0242,0.9111
